AGENT,ITERATION,NO OF GHOSTS,RESULT,TIME
A3,737,26,FALSE,0.172486067
A3,738,26,TRUE,0.177124023
A3,739,26,TRUE,0.21932888
A3,740,26,FALSE,0.022745848
A3,741,26,TRUE,0.283335209
A3,742,26,FALSE,0.215410948
A3,743,26,TRUE,0.200013161
A3,744,26,FALSE,0.170247078
A3,745,26,TRUE,0.185412884
A3,746,26,FALSE,0.136250973
A3,747,26,FALSE,0.100562096
A3,748,26,FALSE,0.102609873
A3,749,26,FALSE,0.049678802
A3,750,26,FALSE,0.051470995
A3,751,26,FALSE,0.192988157
A3,752,26,FALSE,0.151149988
A3,753,26,FALSE,0.036257982
A3,754,26,TRUE,0.199018955
A3,755,27,TRUE,0.161869049
A3,756,27,FALSE,0.242613077
A3,757,27,FALSE,0.189691782
A3,758,27,FALSE,0.170681
A3,759,27,TRUE,0.198848963
A3,760,27,FALSE,0.01420188
A3,761,27,FALSE,0.051352739
A3,762,27,TRUE,0.183983803
A3,763,27,FALSE,0.289128065
A3,764,27,TRUE,0.216656208
A3,765,27,FALSE,0.10504508
A3,766,27,FALSE,0.05768609
A3,767,27,FALSE,0.106767893
A3,768,27,TRUE,0.206840038
A3,769,27,FALSE,0.071216822
